2024-07-12 00:07:16 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-07-12 00:17:16 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-07-12 00:27:16 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-07-12 00:37:16 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-07-12 00:47:16 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-07-12 00:57:16 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-07-12 01:07:16 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-07-12 01:17:16 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-07-12 01:27:16 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-07-12 01:37:16 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-07-12 01:47:16 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-07-12 01:57:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-07-12 02:07:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 02:17:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 02:27:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 02:37:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 02:47:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 02:57:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 03:07:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 03:17:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 03:27:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 03:37:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 03:47:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 03:57:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 04:07:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 04:17:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 04:27:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 04:37:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-07-12 04:47:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 04:57:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 05:07:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 05:17:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 05:27:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 05:37:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 05:47:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 05:57:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 06:07:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 06:17:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 06:27:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 06:37:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 06:47:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 06:57:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 07:07:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-07-12 07:17:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 07:27:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 07:37:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 07:47:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 07:57:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 08:07:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 08:17:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 08:27:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 08:37:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 08:47:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 08:57:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 09:07:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 09:17:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 09:27:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 09:37:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 09:47:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-07-12 09:57:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 10:07:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 10:17:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 10:27:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 10:37:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 10:47:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 10:57:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 11:07:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 11:17:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 11:27:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 11:37:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 11:47:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 11:57:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 12:07:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 12:17:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 12:27:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 55%, Battery external: 99%, charger: N/A
2024-07-12 12:37:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 12:47:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 12:57:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 13:07:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 13:17:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 13:27:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 13:37:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 13:47:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 13:57:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 14:07:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 14:17:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 14:27:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 14:37:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 14:47:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 14:57:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 15:07:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 15:17:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 54%, Battery external: 99%, charger: N/A
2024-07-12 15:27:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 15:37:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 15:47:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 15:57:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 16:07:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 16:17:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 16:27:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 16:37:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 16:47:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 16:57:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 17:07:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 17:17:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 17:27:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 17:37:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 17:47:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 17:57:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 18:07:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 18:17:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-12 18:27:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-12 18:37:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-12 18:47:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-12 18:57:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-12 19:07:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-12 19:17:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-12 19:27:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-12 19:37:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-12 19:47:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
