2024-06-07 00:04:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 79%, Battery external: 99%, charger: N/A
2024-06-07 00:14:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 79%, Battery external: 99%, charger: N/A
2024-06-07 00:24:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 79%, Battery external: 99%, charger: N/A
2024-06-07 00:34:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 00:44:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 00:54:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 01:04:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 01:14:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 01:24:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 01:34:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 01:44:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 01:54:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 02:04:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 02:14:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 02:24:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 02:34:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 02:44:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 02:54:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 03:04:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 03:14:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 03:24:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 99%, charger: N/A
2024-06-07 03:34:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 77%, Battery external: 99%, charger: N/A
2024-06-07 03:44:48 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 77%, Battery external: 99%, charger: N/A
2024-06-07 03:54:48 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 77%, Battery external: 99%, charger: N/A
