2024-07-20 00:07:49 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-20 00:17:49 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-20 00:27:49 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-20 00:37:49 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-20 00:47:49 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 00:57:49 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 01:07:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 01:17:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 01:27:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 01:37:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 01:47:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 01:57:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 02:07:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 02:17:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 02:27:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 02:37:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 02:47:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 02:57:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 03:07:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 03:17:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 03:27:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 03:37:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 03:47:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-20 03:57:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-07-20 04:07:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-07-20 04:17:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-07-20 04:27:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-07-20 04:37:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-07-20 04:47:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-07-20 04:57:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-07-20 05:07:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-07-20 05:17:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-07-20 05:27:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-07-20 05:37:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-07-20 05:47:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-07-20 05:57:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-07-20 06:07:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-07-20 06:17:50 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
