2024-06-14 00:05:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 20%, Battery external: 99%, charger: N/A
2024-06-14 00:15:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 20%, Battery external: 99%, charger: N/A
2024-06-14 00:25:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 20%, Battery external: 99%, charger: N/A
2024-06-14 00:35:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 20%, Battery external: 99%, charger: N/A
2024-06-14 00:45:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 20%, Battery external: 99%, charger: N/A
2024-06-14 00:55:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 20%, Battery external: 99%, charger: N/A
2024-06-14 01:05:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 20%, Battery external: 99%, charger: N/A
2024-06-14 01:15:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 20%, Battery external: 99%, charger: N/A
2024-06-14 01:25:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 20%, Battery external: 99%, charger: N/A
2024-06-14 01:35:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 01:45:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 01:55:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 02:05:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 02:15:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 02:25:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 02:35:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 02:45:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 02:55:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 03:05:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 03:15:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 03:25:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 03:35:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 03:45:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 03:55:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 04:05:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 19%, Battery external: 99%, charger: N/A
2024-06-14 04:15:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 04:25:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 04:35:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 04:45:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 04:55:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 05:05:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 05:15:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 05:25:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 05:35:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 05:45:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 05:55:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 06:05:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 06:15:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 06:25:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 06:35:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 06:45:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 06:55:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 18%, Battery external: 99%, charger: N/A
2024-06-14 07:05:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 07:15:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 07:25:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 07:35:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 07:45:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 07:55:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 08:05:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 08:15:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 08:25:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 08:35:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 08:45:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 08:55:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 09:05:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 09:15:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 09:25:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 09:35:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-06-14 09:45:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 09:55:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 10:05:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 10:15:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 10:25:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 10:35:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 10:45:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 10:55:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 11:05:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 11:15:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 11:25:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 11:35:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 11:45:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 11:55:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 12:05:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 12:15:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-14 12:25:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 15%, Battery external: 99%, charger: N/A
2024-06-14 12:35:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 15%, Battery external: 99%, charger: N/A
2024-06-14 12:45:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 15%, Battery external: 99%, charger: N/A
2024-06-14 12:55:19 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 15%, Battery external: 99%, charger: N/A
