2024-05-28 00:04:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-05-28 00:14:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-05-28 00:24:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-05-28 00:34:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-05-28 00:44:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-05-28 00:54:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-05-28 01:04:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-05-28 01:14:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-05-28 01:24:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-05-28 01:34:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-05-28 01:44:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-05-28 01:54:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-05-28 02:04:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-05-28 02:14:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-05-28 02:24:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-05-28 02:34:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-05-28 02:44:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-05-28 02:54:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-05-28 03:04:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-05-28 03:14:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-05-28 03:24:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-05-28 03:34:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
