2024-06-06 00:04:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 00:14:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 00:24:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 00:34:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 00:44:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 00:54:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 01:04:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 01:14:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 01:24:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 01:34:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 01:44:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 01:54:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 02:04:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 02:14:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 02:24:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 99%, charger: N/A
2024-06-06 02:34:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 85%, Battery external: 99%, charger: N/A
2024-06-06 02:44:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 85%, Battery external: 99%, charger: N/A
2024-06-06 02:54:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 85%, Battery external: 99%, charger: N/A
2024-06-06 03:04:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 85%, Battery external: 99%, charger: N/A
2024-06-06 03:14:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 85%, Battery external: 99%, charger: N/A
2024-06-06 03:24:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 85%, Battery external: 99%, charger: N/A
