2024-06-20 00:05:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 60%, Battery external: 99%, charger: N/A
2024-06-20 00:15:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 60%, Battery external: 99%, charger: N/A
2024-06-20 00:25:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 00:35:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 00:45:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 00:55:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 01:05:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 01:15:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 01:25:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 01:35:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 01:45:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 01:55:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 02:05:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 02:15:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 02:25:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 02:35:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 02:45:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 02:55:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 59%, Battery external: 99%, charger: N/A
2024-06-20 03:05:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 03:15:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 03:25:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 03:35:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 03:45:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 03:55:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 04:05:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 04:15:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 04:25:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 04:35:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 04:45:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 04:55:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 05:05:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 05:15:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 05:25:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 05:35:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 05:45:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 58%, Battery external: 99%, charger: N/A
2024-06-20 05:55:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 06:05:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 06:15:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 06:25:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 06:35:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 06:45:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 06:55:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 07:05:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 07:15:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 07:25:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 07:35:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 07:45:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 07:55:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 08:05:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 08:15:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 57%, Battery external: 99%, charger: N/A
2024-06-20 08:25:44 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-06-20 08:35:44 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-06-20 08:45:44 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-06-20 08:55:44 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-06-20 09:05:44 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-06-20 09:15:44 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
2024-06-20 09:25:44 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 56%, Battery external: 99%, charger: N/A
