2024-07-11 00:07:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 68%, Battery external: 99%, charger: N/A
2024-07-11 00:17:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 00:27:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 00:37:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 00:47:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 00:57:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 01:07:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 01:17:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 01:27:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 01:37:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 01:47:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 01:57:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 02:07:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 02:17:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 02:27:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 02:37:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 02:47:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-07-11 02:57:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 66%, Battery external: 99%, charger: N/A
2024-07-11 03:07:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 66%, Battery external: 99%, charger: N/A
2024-07-11 03:17:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 66%, Battery external: 99%, charger: N/A
2024-07-11 03:27:12 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 66%, Battery external: 99%, charger: N/A
2024-07-11 03:37:13 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 66%, Battery external: 99%, charger: N/A
2024-07-11 03:47:13 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 66%, Battery external: 99%, charger: N/A
2024-07-11 03:57:13 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 66%, Battery external: 99%, charger: N/A
2024-07-11 04:07:13 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 66%, Battery external: 99%, charger: N/A
2024-07-11 04:17:13 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 66%, Battery external: 99%, charger: N/A
