2024-07-01 00:06:29 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 62%, Battery external: 99%, charger: N/A
2024-07-01 00:16:29 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 62%, Battery external: 99%, charger: N/A
2024-07-01 00:26:29 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 62%, Battery external: 99%, charger: N/A
2024-07-01 00:36:29 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 62%, Battery external: 99%, charger: N/A
2024-07-01 00:46:29 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 62%, Battery external: 99%, charger: N/A
2024-07-01 00:56:29 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 62%, Battery external: 99%, charger: N/A
2024-07-01 01:06:29 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 62%, Battery external: 99%, charger: N/A
2024-07-01 01:16:29 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 62%, Battery external: 99%, charger: N/A
2024-07-01 01:26:29 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 62%, Battery external: 99%, charger: N/A
2024-07-01 01:36:29 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 62%, Battery external: 99%, charger: N/A
2024-07-01 01:46:29 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 62%, Battery external: 99%, charger: N/A
2024-07-01 01:56:29 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 62%, Battery external: 99%, charger: N/A
2024-07-01 02:06:29 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 62%, Battery external: 99%, charger: N/A
2024-07-01 02:16:30 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 62%, Battery external: 99%, charger: N/A
2024-07-01 02:26:30 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 61%, Battery external: 99%, charger: N/A
2024-07-01 02:36:30 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 61%, Battery external: 99%, charger: N/A
2024-07-01 02:46:30 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 61%, Battery external: 99%, charger: N/A
2024-07-01 02:56:30 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 61%, Battery external: 99%, charger: N/A
2024-07-01 03:06:30 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 61%, Battery external: 99%, charger: N/A
2024-07-01 03:16:30 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 61%, Battery external: 99%, charger: N/A
2024-07-01 03:26:30 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 61%, Battery external: 99%, charger: N/A
2024-07-01 03:36:30 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 61%, Battery external: 99%, charger: N/A
