2024-07-07 00:06:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-07 00:16:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-07 00:26:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-07 00:36:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-07 00:46:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-07 00:56:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-07 01:06:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-07 01:16:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-07 01:26:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-07 01:36:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-07 01:46:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-07 01:56:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-07 02:06:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-07 02:16:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-07 02:26:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-07 02:36:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-07 02:46:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-07 02:56:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-07 03:06:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-07 03:16:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-07 03:26:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-07 03:36:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-07 03:46:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-07 03:56:55 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
