2024-06-25 00:06:03 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 00:16:03 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 00:26:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 00:36:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 00:46:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 00:56:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 01:06:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 01:16:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 01:26:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 01:36:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 01:46:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 01:56:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 02:06:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 02:16:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 02:26:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 02:36:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 02:46:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 02:56:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 03:06:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 03:16:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 03:26:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
2024-06-25 03:36:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 16%, Battery external: 99%, charger: N/A
