2024-08-01 00:06:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 100%, Battery external: 100%, charger: N/A
2024-08-01 00:16:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 100%, Battery external: 100%, charger: N/A
2024-08-01 00:26:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 100%, Battery external: 100%, charger: N/A
2024-08-01 00:36:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 100%, Battery external: 100%, charger: N/A
2024-08-01 00:46:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 100%, Battery external: 99%, charger: N/A
2024-08-01 00:56:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 100%, Battery external: 100%, charger: N/A
2024-08-01 01:06:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 100%, Battery external: 99%, charger: N/A
2024-08-01 01:16:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 100%, Battery external: 99%, charger: N/A
2024-08-01 01:26:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 01:36:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 99%, charger: N/A
2024-08-01 01:46:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 01:56:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 99%, charger: N/A
2024-08-01 02:06:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 02:16:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 99%, charger: N/A
2024-08-01 02:26:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 99%, charger: N/A
2024-08-01 02:36:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 02:46:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 02:56:58 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 99%, charger: N/A
2024-08-01 03:06:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 99%, charger: N/A
2024-08-01 03:16:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 99%, charger: N/A
2024-08-01 03:26:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 99%, charger: N/A
2024-08-01 03:36:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 03:46:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 99%, charger: N/A
2024-08-01 03:56:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 99%, charger: N/A
2024-08-01 04:06:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 04:16:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 99%, charger: N/A
2024-08-01 04:26:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 99%, charger: N/A
2024-08-01 04:36:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 99%, charger: N/A
2024-08-01 04:46:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 04:56:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 05:06:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 05:16:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 05:26:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 05:36:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 05:46:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 05:56:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 06:06:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 06:16:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 06:26:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 06:36:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 06:46:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 06:56:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 07:06:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 07:16:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 07:26:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 07:36:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 99%, charger: N/A
2024-08-01 07:46:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 07:56:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 08:07:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 08:17:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 08:27:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 08:37:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 08:47:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 08:57:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
2024-08-01 09:07:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 99%, Battery external: 100%, charger: N/A
