2024-06-05 00:04:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 95%, Battery external: 99%, charger: N/A
2024-06-05 00:14:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 95%, Battery external: 99%, charger: N/A
2024-06-05 00:24:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 95%, Battery external: 99%, charger: N/A
2024-06-05 00:34:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 95%, Battery external: 99%, charger: N/A
2024-06-05 00:44:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 95%, Battery external: 99%, charger: N/A
2024-06-05 00:54:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 95%, Battery external: 99%, charger: N/A
2024-06-05 01:04:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 01:14:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 01:24:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 01:34:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 01:44:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 01:54:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 02:04:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 02:14:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 02:24:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 02:34:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 02:44:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 02:54:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 03:04:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 03:14:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 03:24:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 94%, Battery external: 99%, charger: N/A
2024-06-05 03:34:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 03:44:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 03:54:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 04:04:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 04:14:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 04:24:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 04:34:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 04:44:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 04:54:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 05:04:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 05:14:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 05:24:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 05:34:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 05:44:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 05:54:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 06:04:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 06:14:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 93%, Battery external: 99%, charger: N/A
2024-06-05 06:24:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 06:34:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 06:44:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 06:54:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 07:04:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 07:14:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 07:24:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 07:34:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 07:44:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 07:54:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 08:04:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 08:14:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 08:24:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 08:34:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 08:44:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 92%, Battery external: 99%, charger: N/A
2024-06-05 08:54:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 09:04:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 09:14:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 09:24:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 09:34:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 09:44:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 09:54:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 10:04:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 10:14:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 10:24:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 10:34:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 10:44:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 10:54:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 11:04:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 11:14:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 11:24:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 11:34:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 11:44:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 91%, Battery external: 99%, charger: N/A
2024-06-05 11:54:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 12:04:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 12:14:40 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 12:24:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 12:34:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 12:44:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 12:54:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 13:04:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 13:14:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 13:24:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 13:34:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 13:44:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 13:54:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 14:04:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 14:14:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 14:24:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-06-05 14:34:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 14:44:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 14:54:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 15:04:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 15:14:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 15:24:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 15:34:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 15:44:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 15:54:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 16:04:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 16:14:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 16:24:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 16:34:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 16:44:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 16:54:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 17:04:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 17:14:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 17:24:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 17:34:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-06-05 17:44:41 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-06-05 17:54:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-06-05 18:04:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-06-05 18:14:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-06-05 18:24:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-06-05 18:34:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-06-05 18:44:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-06-05 18:54:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-06-05 19:04:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-06-05 19:14:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-06-05 19:24:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-06-05 19:34:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
2024-06-05 19:44:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 88%, Battery external: 99%, charger: N/A
