2024-07-14 00:07:24 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 42%, Battery external: 99%, charger: N/A
2024-07-14 00:17:24 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 42%, Battery external: 99%, charger: N/A
2024-07-14 00:27:24 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 42%, Battery external: 99%, charger: N/A
2024-07-14 00:37:24 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 42%, Battery external: 99%, charger: N/A
2024-07-14 00:47:24 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 42%, Battery external: 99%, charger: N/A
2024-07-14 00:57:24 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 41%, Battery external: 99%, charger: N/A
2024-07-14 01:07:24 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 41%, Battery external: 99%, charger: N/A
2024-07-14 01:17:24 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 41%, Battery external: 99%, charger: N/A
2024-07-14 01:27:24 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 41%, Battery external: 99%, charger: N/A
2024-07-14 01:37:24 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 41%, Battery external: 99%, charger: N/A
2024-07-14 01:47:24 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 41%, Battery external: 99%, charger: N/A
2024-07-14 01:57:24 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 41%, Battery external: 99%, charger: N/A
2024-07-14 02:07:24 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 41%, Battery external: 99%, charger: N/A
2024-07-14 02:17:25 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 41%, Battery external: 99%, charger: N/A
2024-07-14 02:27:25 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 41%, Battery external: 99%, charger: N/A
2024-07-14 02:37:25 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 41%, Battery external: 99%, charger: N/A
2024-07-14 02:47:25 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 41%, Battery external: 99%, charger: N/A
