2024-07-13 00:07:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-13 00:17:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 00:27:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 00:37:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 00:47:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 00:57:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 01:07:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 01:17:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 01:27:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 01:37:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 01:47:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 01:57:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 02:07:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 02:17:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 02:27:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 02:37:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 02:47:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-13 02:57:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-13 03:07:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-13 03:17:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-13 03:27:20 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-13 03:37:21 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-13 03:47:21 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-13 03:57:21 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-13 04:07:21 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-13 04:17:21 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-13 04:27:21 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-13 04:37:21 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-13 04:47:21 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-13 04:57:21 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-13 05:07:21 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-13 05:17:21 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
