2024-06-21 00:05:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-06-21 00:15:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-06-21 00:25:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-06-21 00:35:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-06-21 00:45:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 00:55:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 01:05:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 01:15:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 01:25:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 01:35:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 01:45:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 01:55:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 02:05:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 02:15:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 02:25:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 02:35:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 02:45:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 02:55:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 03:05:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 03:15:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-06-21 03:25:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 03:35:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 03:45:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 03:55:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 04:05:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 04:15:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 04:25:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 04:35:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 04:45:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 04:55:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 05:05:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 05:15:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 05:25:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 05:35:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 05:45:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-06-21 05:55:47 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
