2024-07-17 00:07:37 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-07-17 00:17:37 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-07-17 00:27:37 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-07-17 00:37:37 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-07-17 00:47:37 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-07-17 00:57:37 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-07-17 01:07:37 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-07-17 01:17:37 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-07-17 01:27:37 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-07-17 01:37:37 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-07-17 01:47:37 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-07-17 01:57:37 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-07-17 02:07:37 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
2024-07-17 02:17:37 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 17%, Battery external: 99%, charger: N/A
