2024-07-08 00:06:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 00:16:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 00:26:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 00:36:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 00:46:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 00:56:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 01:06:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 01:16:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 01:26:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 01:36:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 01:46:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 01:56:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 02:06:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 02:16:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 02:26:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 02:36:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 90%, Battery external: 99%, charger: N/A
2024-07-08 02:46:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-08 02:56:59 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-08 03:07:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-08 03:17:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-08 03:27:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-08 03:37:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-08 03:47:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-08 03:57:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-08 04:07:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-08 04:17:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-08 04:27:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-08 04:37:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-08 04:47:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-08 04:57:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
2024-07-08 05:07:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 89%, Battery external: 99%, charger: N/A
