2024-06-11 00:05:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 47%, Battery external: 99%, charger: N/A
2024-06-11 00:15:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 47%, Battery external: 99%, charger: N/A
2024-06-11 00:25:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 47%, Battery external: 99%, charger: N/A
2024-06-11 00:35:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 00:45:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 00:55:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 01:05:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 01:15:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 01:25:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 01:35:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 01:45:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 01:55:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 02:05:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 02:15:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 02:25:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 02:35:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 02:45:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 02:55:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 03:05:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 46%, Battery external: 99%, charger: N/A
2024-06-11 03:15:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 45%, Battery external: 99%, charger: N/A
2024-06-11 03:25:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 45%, Battery external: 99%, charger: N/A
2024-06-11 03:35:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 45%, Battery external: 99%, charger: N/A
2024-06-11 03:45:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 45%, Battery external: 99%, charger: N/A
2024-06-11 03:55:05 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 45%, Battery external: 99%, charger: N/A
