2024-06-26 00:06:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 00:16:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 00:26:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 00:36:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 00:46:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 00:56:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 01:06:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 01:16:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 01:26:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 01:36:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 01:46:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 01:56:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 02:06:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 02:16:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 02:26:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 02:36:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 02:46:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 02:56:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 03:06:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 03:16:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 03:26:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 03:36:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 03:46:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 03:56:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 04:06:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 04:16:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
2024-06-26 04:26:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 12%, Battery external: 99%, charger: N/A
