2025-01-14 00:04:01 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:04:07 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:04:13 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:04:19 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:04:25 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:04:31 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:04:37 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:04:43 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:04:49 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:04:55 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:05:01 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:05:07 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:05:13 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:05:19 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
