2024-05-31 00:04:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 00:14:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 00:24:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 00:34:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 00:44:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 00:54:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 01:04:17 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 01:14:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 01:24:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 01:34:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 01:44:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 01:54:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 02:04:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 02:14:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 02:24:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-05-31 02:34:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 02:44:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 02:54:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 03:04:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 03:14:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 03:24:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 03:34:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 03:44:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 03:54:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 04:04:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 04:14:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 04:24:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 04:34:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 04:44:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 04:54:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 05:04:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 05:14:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 05:24:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-05-31 05:34:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-05-31 05:44:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-05-31 05:54:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-05-31 06:04:18 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
