2024-07-29 00:06:42 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 87%, Battery external: 100%, charger: N/A
2024-07-29 00:16:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 87%, Battery external: 100%, charger: N/A
2024-07-29 00:26:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 100%, charger: N/A
2024-07-29 00:36:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 100%, charger: N/A
2024-07-29 00:46:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 86%, Battery external: 100%, charger: N/A
2024-07-29 00:56:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 85%, Battery external: 100%, charger: N/A
2024-07-29 01:06:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 85%, Battery external: 100%, charger: N/A
2024-07-29 01:16:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 100%, charger: N/A
2024-07-29 01:26:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 100%, charger: N/A
2024-07-29 01:36:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 100%, charger: N/A
2024-07-29 01:46:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 100%, charger: N/A
2024-07-29 01:56:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 100%, charger: N/A
2024-07-29 02:06:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 100%, charger: N/A
2024-07-29 02:16:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 100%, charger: N/A
2024-07-29 02:26:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 100%, charger: N/A
2024-07-29 02:36:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 100%, charger: N/A
2024-07-29 02:46:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 100%, charger: N/A
2024-07-29 02:56:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 100%, charger: N/A
2024-07-29 03:06:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 80%, Battery external: 100%, charger: N/A
2024-07-29 03:16:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 80%, Battery external: 100%, charger: N/A
2024-07-29 03:26:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 80%, Battery external: 100%, charger: N/A
2024-07-29 03:36:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 79%, Battery external: 100%, charger: N/A
2024-07-29 03:46:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 79%, Battery external: 100%, charger: N/A
2024-07-29 03:56:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 100%, charger: N/A
2024-07-29 04:06:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 100%, charger: N/A
2024-07-29 04:16:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 78%, Battery external: 100%, charger: N/A
2024-07-29 04:26:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 77%, Battery external: 100%, charger: N/A
2024-07-29 04:36:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 77%, Battery external: 100%, charger: N/A
2024-07-29 04:46:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 100%, charger: N/A
2024-07-29 04:56:43 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 100%, charger: N/A
