2024-06-18 00:05:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 00:15:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 00:25:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 00:35:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 00:45:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 00:55:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 01:05:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 01:15:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 01:25:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 01:35:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 01:45:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 01:55:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 02:05:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 02:15:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 02:25:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
2024-06-18 02:35:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 76%, Battery external: 99%, charger: N/A
