2024-07-02 00:06:33 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-02 00:16:33 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-02 00:26:33 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-02 00:36:33 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-02 00:46:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-02 00:56:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-02 01:06:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-02 01:16:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-02 01:26:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-02 01:36:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-02 01:46:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-02 01:56:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-02 02:06:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-02 02:16:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 53%, Battery external: 99%, charger: N/A
2024-07-02 02:26:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 02:36:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 02:46:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 02:56:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 03:06:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 03:16:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 03:26:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 03:36:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 03:46:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 03:56:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 04:06:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 04:16:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 04:26:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 04:36:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 04:46:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 04:56:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 52%, Battery external: 99%, charger: N/A
2024-07-02 05:06:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-02 05:16:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-02 05:26:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-02 05:36:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-02 05:46:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-02 05:56:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-02 06:06:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-02 06:16:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-02 06:26:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-02 06:36:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-02 06:46:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-02 06:56:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-02 07:06:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-02 07:16:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 51%, Battery external: 99%, charger: N/A
2024-07-02 07:26:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 07:36:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 07:46:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 07:56:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 08:06:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 08:16:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 08:26:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 08:36:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 08:46:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 08:56:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 09:06:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 09:16:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 09:26:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 09:36:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 09:46:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 09:56:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 50%, Battery external: 99%, charger: N/A
2024-07-02 10:06:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-02 10:16:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-02 10:26:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-02 10:36:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-02 10:46:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-02 10:56:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-02 11:06:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-02 11:16:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-02 11:26:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-02 11:36:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-02 11:46:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-02 11:56:36 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-02 12:06:36 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
2024-07-02 12:16:36 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 49%, Battery external: 99%, charger: N/A
