2024-07-10 00:07:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 00:17:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 00:27:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 00:37:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 00:47:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 00:57:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 01:07:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 01:17:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 01:27:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 01:37:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 01:47:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 01:57:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 02:07:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 02:17:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 02:27:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 75%, Battery external: 99%, charger: N/A
2024-07-10 02:37:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 74%, Battery external: 99%, charger: N/A
2024-07-10 02:47:08 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 74%, Battery external: 99%, charger: N/A
