2024-07-09 00:07:03 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-07-09 00:17:03 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-07-09 00:27:03 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-07-09 00:37:03 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-07-09 00:47:03 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-07-09 00:57:03 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-07-09 01:07:03 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-07-09 01:17:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-07-09 01:27:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-07-09 01:37:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-07-09 01:47:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-07-09 01:57:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-07-09 02:07:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-07-09 02:17:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-07-09 02:27:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-07-09 02:37:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-07-09 02:47:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-07-09 02:57:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-07-09 03:07:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-07-09 03:17:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-07-09 03:27:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-07-09 03:37:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-07-09 03:47:04 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
