2024-06-19 00:05:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 68%, Battery external: 99%, charger: N/A
2024-06-19 00:15:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 68%, Battery external: 99%, charger: N/A
2024-06-19 00:25:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 68%, Battery external: 99%, charger: N/A
2024-06-19 00:35:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 68%, Battery external: 99%, charger: N/A
2024-06-19 00:45:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 68%, Battery external: 99%, charger: N/A
2024-06-19 00:55:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 68%, Battery external: 99%, charger: N/A
2024-06-19 01:05:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 68%, Battery external: 99%, charger: N/A
2024-06-19 01:15:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 68%, Battery external: 99%, charger: N/A
2024-06-19 01:25:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 68%, Battery external: 99%, charger: N/A
2024-06-19 01:35:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 68%, Battery external: 99%, charger: N/A
2024-06-19 01:45:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-06-19 01:55:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-06-19 02:05:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-06-19 02:15:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-06-19 02:25:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-06-19 02:35:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-06-19 02:45:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-06-19 02:55:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-06-19 03:05:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-06-19 03:15:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-06-19 03:25:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-06-19 03:35:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-06-19 03:45:38 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
2024-06-19 03:55:39 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 67%, Battery external: 99%, charger: N/A
