2024-06-04 00:04:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 15%, Battery external: 99%, charger: N/A
2024-06-04 00:14:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 15%, Battery external: 99%, charger: N/A
2024-06-04 00:24:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 15%, Battery external: 99%, charger: N/A
2024-06-04 00:34:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 14%, Battery external: 99%, charger: N/A
2024-06-04 00:44:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 14%, Battery external: 99%, charger: N/A
2024-06-04 00:54:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 14%, Battery external: 99%, charger: N/A
2024-06-04 01:04:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 14%, Battery external: 99%, charger: N/A
2024-06-04 01:14:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 14%, Battery external: 99%, charger: N/A
2024-06-04 01:24:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 14%, Battery external: 99%, charger: N/A
2024-06-04 01:34:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 14%, Battery external: 99%, charger: N/A
2024-06-04 01:44:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 14%, Battery external: 99%, charger: N/A
2024-06-04 01:54:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 14%, Battery external: 99%, charger: N/A
2024-06-04 02:04:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 14%, Battery external: 99%, charger: N/A
2024-06-04 02:14:34 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 14%, Battery external: 99%, charger: N/A
2024-06-04 02:24:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 14%, Battery external: 99%, charger: N/A
2024-06-04 02:34:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 14%, Battery external: 99%, charger: N/A
2024-06-04 02:44:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 14%, Battery external: 99%, charger: N/A
2024-06-04 02:54:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 13%, Battery external: 99%, charger: N/A
2024-06-04 03:04:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 13%, Battery external: 99%, charger: N/A
2024-06-04 03:14:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 13%, Battery external: 99%, charger: N/A
2024-06-04 03:24:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 13%, Battery external: 99%, charger: N/A
2024-06-04 03:34:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 13%, Battery external: 99%, charger: N/A
2024-06-04 03:44:35 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 13%, Battery external: 99%, charger: N/A
