2024-05-27 00:04:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 00:14:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 00:24:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 00:34:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 00:44:00 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 00:54:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 01:04:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 01:14:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 01:24:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 01:34:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 01:44:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 01:54:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 02:04:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 02:14:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 02:24:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 02:34:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 02:44:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 84%, Battery external: 99%, charger: N/A
2024-05-27 02:54:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 03:04:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 03:14:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 03:24:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 03:34:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 03:44:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 03:54:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 04:04:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 04:14:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 04:24:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 04:34:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 04:44:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 04:54:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 05:04:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 05:14:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 05:24:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 83%, Battery external: 99%, charger: N/A
2024-05-27 05:34:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 05:44:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 05:54:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 06:04:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 06:14:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 06:24:01 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 06:34:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 06:44:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 06:54:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 07:04:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 07:14:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 07:24:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 07:34:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 07:44:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 07:54:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 08:04:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 08:14:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 82%, Battery external: 99%, charger: N/A
2024-05-27 08:24:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 08:34:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 08:44:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 08:54:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 09:04:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 09:14:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 09:24:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 09:34:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 09:44:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 09:54:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 10:04:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 10:14:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 10:24:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 10:34:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 10:44:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 10:54:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 11:04:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 11:14:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 81%, Battery external: 99%, charger: N/A
2024-05-27 11:24:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 80%, Battery external: 99%, charger: N/A
2024-05-27 11:34:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 80%, Battery external: 99%, charger: N/A
2024-05-27 11:44:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 80%, Battery external: 99%, charger: N/A
2024-05-27 11:54:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 80%, Battery external: 99%, charger: N/A
2024-05-27 12:04:02 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 80%, Battery external: 99%, charger: N/A
2024-05-27 12:14:03 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 80%, Battery external: 99%, charger: N/A
2024-05-27 12:24:03 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 80%, Battery external: 99%, charger: N/A
2024-05-27 12:34:03 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 80%, Battery external: 99%, charger: N/A
2024-05-27 12:44:03 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 80%, Battery external: 99%, charger: N/A
