2024-07-19 00:07:45 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-19 00:17:45 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-19 00:27:45 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-19 00:37:45 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-19 00:47:45 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-19 00:57:45 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-19 01:07:45 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-19 01:17:45 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 98%, Battery external: 99%, charger: N/A
2024-07-19 01:27:45 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 01:37:45 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 01:47:45 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 01:57:45 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 02:07:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 02:17:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 02:27:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 02:37:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 02:47:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 02:57:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 03:07:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 03:17:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 03:27:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 03:37:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 03:47:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 03:57:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 04:07:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 97%, Battery external: 99%, charger: N/A
2024-07-19 04:17:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 96%, Battery external: 99%, charger: N/A
2024-07-19 04:27:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 96%, Battery external: 99%, charger: N/A
2024-07-19 04:37:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 96%, Battery external: 99%, charger: N/A
2024-07-19 04:47:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 96%, Battery external: 99%, charger: N/A
2024-07-19 04:57:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 96%, Battery external: 99%, charger: N/A
2024-07-19 05:07:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 96%, Battery external: 99%, charger: N/A
2024-07-19 05:17:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 96%, Battery external: 99%, charger: N/A
2024-07-19 05:27:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 96%, Battery external: 99%, charger: N/A
2024-07-19 05:37:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 96%, Battery external: 99%, charger: N/A
2024-07-19 05:47:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 96%, Battery external: 99%, charger: N/A
2024-07-19 05:57:46 Behaviour internal: inhibit-charge, Behaviour external: inhibit-charge, Battery internal: 96%, Battery external: 99%, charger: N/A
